,Attendees,Sex,Average_height,Average_weight,Sport,Team
3736,6,M,192.0,89.16666666666667,Beach Volleyball,Canada-2
3737,6,F,181.83333333333334,73.16666666666667,Beach Volleyball,China-1
3738,6,F,181.33333333333334,70.83333333333333,Beach Volleyball,China-2
3739,6,M,189.66666666666666,84.33333333333333,Beach Volleyball,Cuba
3740,6,M,190.0,81.16666666666667,Beach Volleyball,France
3741,6,M,190.83333333333334,88.0,Beach Volleyball,Japan
3742,6,F,178.0,68.33333333333333,Beach Volleyball,Mexico
3743,6,M,186.5,84.5,Beach Volleyball,Portugal
3744,6,M,198.33333333333334,90.16666666666667,Beach Volleyball,Russia
3745,6,F,180.5,70.0,Beach Volleyball,Switzerland
3746,6,M,196.0,97.16666666666667,Beach Volleyball,Switzerland-1
3747,6,M,194.66666666666666,94.83333333333333,Beach Volleyball,Switzerland-2
3748,6,F,166.33333333333334,55.666666666666664,Biathlon,Bosnia and Herzegovina
3749,6,M,182.33333333333334,82.33333333333333,Biathlon,Croatia
3750,6,F,164.66666666666666,54.0,Biathlon,South Korea
3751,6,F,170.5,68.33333333333333,Bobsleigh,Australia
3752,6,F,174.83333333333334,73.83333333333333,Bobsleigh,Canada-1
3753,6,F,173.33333333333334,75.0,Bobsleigh,Canada-2
3754,6,M,187.83333333333334,96.83333333333333,Bobsleigh,Ireland
3755,6,M,173.0,74.33333333333333,Bobsleigh,Poland-1
3756,6,M,172.0,71.83333333333333,Bobsleigh,Poland-2
3757,6,F,173.0,71.16666666666667,Bobsleigh,Romania
3758,6,M,191.33333333333334,97.66666666666667,Bobsleigh,Serbia
3759,6,M,180.66666666666666,101.0,Bobsleigh,South Korea-1
3760,6,M,182.5,98.83333333333333,Bobsleigh,South Korea-2
3761,6,M,172.33333333333334,75.0,Bobsleigh,Spain-1
3762,6,M,173.0,71.5,Bobsleigh,Spain-2
3763,6,M,179.33333333333334,81.0,Bobsleigh,Sweden-2
3764,6,M,183.66666666666666,91.66666666666667,Bobsleigh,Unified Team-1
3765,6,M,185.66666666666666,88.0,Bobsleigh,Yugoslavia-1
3766,6,M,173.5,74.83333333333333,Boxing,Belgium
3767,6,F,172.33333333333334,62.0,Boxing,China
3768,6,M,168.16666666666666,60.833333333333336,Boxing,Guinea
3769,6,M,173.0,73.33333333333333,Boxing,Lebanon
3770,6,M,175.83333333333334,68.0,Boxing,Senegal
3771,6,M,169.33333333333334,56.333333333333336,Boxing,Sri Lanka
3772,6,M,168.5,60.5,Boxing,Swaziland
3773,6,M,183.33333333333334,92.5,Boxing,Tonga
3774,6,M,170.0,69.0,Canoeing,Angola
3775,6,M,188.66666666666666,83.66666666666667,Canoeing,Estonia
3776,6,M,176.5,73.66666666666667,Canoeing,Germany-1
3777,6,M,175.83333333333334,74.0,Canoeing,Germany-2
3778,6,M,176.66666666666666,73.33333333333333,Canoeing,Great Britain-1
3779,6,M,179.33333333333334,73.83333333333333,Canoeing,Great Britain-2
3780,6,M,165.0,64.0,Canoeing,Indonesia
3781,6,M,173.16666666666666,72.16666666666667,Canoeing,Poland-1
3782,6,M,176.83333333333334,69.33333333333333,Canoeing,Poland-2
3783,6,F,167.16666666666666,55.333333333333336,Cross Country Skiing,Armenia
3784,6,M,174.83333333333334,70.66666666666667,Cross Country Skiing,Chinese Taipei
3785,6,M,182.0,80.0,Cross Country Skiing,San Marino
3786,6,M,186.33333333333334,77.66666666666667,Cross Country Skiing,Serbia
3787,6,M,165.0,68.66666666666667,Cycling,Bahrain
3788,6,F,154.33333333333334,50.5,Diving,Cuba
3789,6,M,171.5,71.33333333333333,Diving,Egypt
3790,6,M,172.83333333333334,62.5,Diving,Hong Kong
3791,6,F,167.16666666666666,57.0,Diving,Switzerland
3792,6,F,168.5,58.666666666666664,Equestrianism,Ukraine
3793,6,M,172.33333333333334,73.0,Equestrianism,Yugoslavia
3794,6,M,179.16666666666666,74.83333333333333,Fencing,Kazakhstan
3795,6,M,175.66666666666666,67.5,Fencing,New Zealand
3796,6,F,173.66666666666666,64.33333333333333,Fencing,Norway
3797,6,M,171.83333333333334,65.33333333333333,Figure Skating,Belarus
3798,6,F,161.66666666666666,50.0,Figure Skating,Bulgaria
3799,6,F,165.0,49.333333333333336,Figure Skating,Estonia
3800,6,F,165.5,52.166666666666664,Figure Skating,Italy-1
3801,6,M,176.16666666666666,67.83333333333333,Figure Skating,Italy-1
3802,6,F,162.16666666666666,51.0,Figure Skating,Italy-2
3803,6,M,180.5,71.33333333333333,Figure Skating,Soviet Union-3
3804,6,F,165.33333333333334,50.666666666666664,Figure Skating,Ukraine-2
3805,6,M,170.83333333333334,66.33333333333333,Freestyle Skiing,New Zealand
3806,6,M,167.0,63.0,Gymnastics,Cyprus
3807,6,M,183.0,81.0,Gymnastics,Monaco
3808,6,M,177.0,72.0,Gymnastics,South Africa
3809,6,M,178.0,68.0,Gymnastics,Turkey
3810,6,M,167.0,64.0,Gymnastics,Venezuela
3811,6,F,178.83333333333334,72.16666666666667,Handball,Unified Team
3812,6,F,169.16666666666666,62.0,Judo,Colombia
3813,6,M,178.0,83.5,Judo,Colombia
3814,6,M,169.33333333333334,72.33333333333333,Judo,El Salvador
3815,6,M,179.16666666666666,127.83333333333333,Judo,Guam
3816,6,M,176.66666666666666,74.66666666666667,Judo,Mali
3817,6,F,172.5,104.33333333333333,Judo,Mexico
3818,6,F,162.83333333333334,57.833333333333336,Judo,Switzerland
3819,6,F,164.16666666666666,72.0,Judo,Turkey
3820,6,M,175.5,81.66666666666667,Judo,Zimbabwe
3821,6,M,180.33333333333334,89.0,Luge,Argentina
3822,6,M,177.0,74.0,Luge,Romania-1
3823,6,M,180.83333333333334,80.33333333333333,Luge,Romania-2
3824,6,F,167.66666666666666,62.666666666666664,Luge,Sweden
3825,6,F,168.33333333333334,58.833333333333336,Luge,Switzerland
3826,6,M,183.16666666666666,83.0,Luge,Ukraine-1
3827,6,M,178.16666666666666,75.16666666666667,Luge,Ukraine-2
3828,6,F,165.0,73.33333333333333,Luge,United States Virgin Islands
3829,6,M,181.0,75.16666666666667,Modern Pentathlon,Belarus
3830,6,M,177.66666666666666,67.0,Modern Pentathlon,East Germany
3831,6,F,166.83333333333334,54.166666666666664,Modern Pentathlon,Lithuania
3832,6,M,181.66666666666666,77.66666666666667,Modern Pentathlon,Netherlands
3833,6,M,172.33333333333334,70.0,Modern Pentathlon,Tunisia
3834,6,F,175.0,61.333333333333336,Modern Pentathlon,Ukraine
3835,6,M,181.0,71.33333333333333,Modern Pentathlon,Unified Team
3836,6,F,167.33333333333334,50.0,Rhythmic Gymnastics,Australia
3837,6,F,169.83333333333334,49.666666666666664,Rhythmic Gymnastics,Austria
3838,6,F,166.5,51.166666666666664,Rhythmic Gymnastics,Uzbekistan
3839,6,M,180.0,71.33333333333333,Rowing,Algeria
3840,6,M,177.33333333333334,73.33333333333333,Rowing,North Korea
3841,6,F,175.33333333333334,67.16666666666667,Rowing,Switzerland
3842,6,F,168.16666666666666,57.666666666666664,Rowing,Vietnam
3843,6,M,183.66666666666666,89.83333333333333,Sailing,Barbados
3844,6,F,173.83333333333334,68.0,Sailing,Belarus
3845,6,M,181.16666666666666,75.5,Sailing,British Virgin Islands
3846,6,M,175.66666666666666,72.66666666666667,Sailing,Cayman Islands
3847,6,F,172.33333333333334,62.5,Sailing,Czech Republic
3848,6,M,182.0,81.0,Sailing,Czechoslovakia
3849,6,M,176.66666666666666,81.33333333333333,Sailing,Druzhba
3850,6,M,179.66666666666666,69.5,Sailing,Iceland
3851,6,M,179.66666666666666,84.0,Sailing,John B
3852,6,F,170.66666666666666,62.5,Sailing,Latvia
3853,6,M,182.66666666666666,76.66666666666667,Sailing,Malaysia
3854,6,M,174.83333333333334,72.16666666666667,Sailing,Malta
3855,6,M,175.16666666666666,74.33333333333333,Sailing,Monaco
3856,6,M,178.5,74.5,Sailing,Pakistan
3857,6,M,170.16666666666666,74.16666666666667,Sailing,Tango
3858,6,F,170.83333333333334,62.166666666666664,Sailing,Turkey
3859,6,M,179.33333333333334,81.0,Sailing,Zimbabwe
3860,6,M,170.16666666666666,66.16666666666667,Shooting,Belize
3861,6,F,167.66666666666666,60.0,Shooting,East Germany
3862,6,M,164.0,57.5,Shooting,Laos
3863,6,F,165.0,58.0,Shooting,Monaco
3864,6,M,172.0,88.83333333333333,Shooting,Netherlands Antilles
3865,6,F,163.66666666666666,76.33333333333333,Shooting,Romania
3866,6,M,181.33333333333334,79.5,Shooting,Sudan
3867,6,F,162.0,53.0,Short Track Speed Skating,Belarus
3868,6,M,172.16666666666666,65.0,Short Track Speed Skating,Mongolia
3869,6,F,169.66666666666666,61.666666666666664,Short Track Speed Skating,Poland
3870,6,M,185.0,77.0,Short Track Speed Skating,Slovakia
3871,6,F,170.0,59.0,Skeleton,Great Britain
3872,6,M,182.0,80.5,Skeleton,Latvia
3873,6,M,173.0,70.0,Ski Jumping,Georgia
3874,6,M,168.0,67.0,Speed Skating,Denmark
3875,6,F,181.0,72.0,Speed Skating,Latvia
3876,6,F,166.33333333333334,56.0,Swimming,Cambodia
3877,6,M,183.16666666666666,75.5,Swimming,Iran
3878,6,F,142.5,49.666666666666664,Swimming,Libya
3879,6,F,172.0,63.166666666666664,Swimming,Moldova
3880,6,F,171.66666666666666,63.666666666666664,Swimming,Morocco
3881,6,F,171.5,59.666666666666664,Swimming,Senegal
3882,6,M,182.83333333333334,74.16666666666667,Swimming,Syria
3883,6,F,167.83333333333334,61.0,Synchronized Swimming,New Zealand
3884,6,F,167.83333333333334,53.0,Synchronized Swimming,Slovakia
3885,6,M,173.0,65.66666666666667,Table Tennis,Algeria
3886,6,M,179.33333333333334,72.83333333333333,Table Tennis,France-1
3887,6,M,171.33333333333334,65.83333333333333,Table Tennis,France-2
3888,6,M,175.0,67.5,Table Tennis,Indonesia
3889,6,M,173.0,69.0,Table Tennis,Iran
3890,6,M,175.33333333333334,70.0,Table Tennis,Italy
3891,6,F,160.0,52.833333333333336,Table Tennis,Japan-1
3892,6,F,156.5,48.0,Table Tennis,Japan-2
3893,6,F,159.16666666666666,59.166666666666664,Table Tennis,Luxembourg
3894,6,M,183.0,73.66666666666667,Table Tennis,New Zealand
3895,6,M,185.33333333333334,82.83333333333333,Table Tennis,Romania
3896,6,M,175.16666666666666,75.0,Table Tennis,Spain
3897,6,F,160.5,55.5,Table Tennis,Thailand
3898,6,M,180.5,68.5,Table Tennis,Tunisia
3899,6,F,174.0,65.83333333333333,Table Tennis,Ukraine
3900,6,M,188.83333333333334,80.16666666666667,Taekwondo,Azerbaijan
3901,6,M,176.0,66.66666666666667,Taekwondo,Brazil
3902,6,M,194.16666666666666,85.66666666666667,Taekwondo,China
3903,6,F,165.83333333333334,57.166666666666664,Taekwondo,Germany
3904,6,M,194.0,88.33333333333333,Taekwondo,Greece
3905,6,F,169.83333333333334,60.5,Taekwondo,Japan
3906,6,M,182.16666666666666,88.66666666666667,Taekwondo,Nigeria
3907,6,M,179.83333333333334,71.33333333333333,Taekwondo,Russia
3908,6,F,170.16666666666666,60.0,Taekwondo,Turkey
3909,6,M,182.5,75.5,Taekwondo,Turkey
3910,6,M,185.5,81.16666666666667,Taekwondo,Uzbekistan
3911,6,M,184.0,81.33333333333333,Tennis,Argentina-1
3912,6,M,184.16666666666666,81.0,Tennis,Argentina-2
3913,6,M,178.83333333333334,73.83333333333333,Tennis,Chinese Taipei
3914,6,M,186.16666666666666,81.33333333333333,Tennis,Colombia
3915,6,F,175.5,65.33333333333333,Tennis,Czech Republic-1
3916,6,F,175.66666666666666,64.33333333333333,Tennis,Czech Republic-2
3917,6,M,186.33333333333334,79.66666666666667,Tennis,Ecuador
3918,6,F,166.33333333333334,57.333333333333336,Tennis,Luxembourg
3919,6,M,183.33333333333334,75.0,Tennis,Morocco
3920,6,M,182.66666666666666,75.5,Tennis,New Zealand
3921,6,F,164.33333333333334,51.666666666666664,Trampolining,Belarus
3922,6,F,167.5,56.333333333333336,Trampolining,Great Britain
3923,6,F,166.33333333333334,78.83333333333333,Weightlifting,Hungary
3924,6,M,169.33333333333334,85.33333333333333,Weightlifting,Kenya
3925,6,M,168.0,79.83333333333333,Weightlifting,Kyrgyzstan
3926,6,M,179.16666666666666,94.16666666666667,Weightlifting,Peru
3927,6,F,162.33333333333334,72.33333333333333,Weightlifting,Romania
3928,6,M,168.0,80.0,Weightlifting,Saudi Arabia
3929,6,M,168.5,71.33333333333333,Weightlifting,South Africa
3930,6,F,165.0,68.5,Weightlifting,Spain
3931,6,M,163.83333333333334,77.66666666666667,Weightlifting,Uganda
3932,6,F,169.33333333333334,66.66666666666667,Wrestling,Brazil
3933,6,M,161.66666666666666,60.333333333333336,Wrestling,Chinese Taipei
3934,6,F,162.33333333333334,58.666666666666664,Wrestling,Greece
3935,6,M,168.5,72.5,Wrestling,Guinea Bissau
3936,6,M,171.66666666666666,65.16666666666667,Wrestling,Serbia
3937,6,F,160.33333333333334,54.5,Wrestling,Tunisia
3938,6,F,169.66666666666666,62.666666666666664,Wrestling,Turkey
3939,6,M,160.33333333333334,56.5,Wrestling,Vietnam
3940,5,M,180.0,74.0,Alpine Skiing,Albania
3941,5,M,182.0,78.0,Alpine Skiing,Belarus
3942,5,F,165.4,59.8,Alpine Skiing,Belgium
3943,5,M,180.8,69.6,Alpine Skiing,Uzbekistan
3944,5,M,177.6,76.4,Archery,Bulgaria
3945,5,M,173.2,75.8,Archery,Cuba
3946,5,M,182.0,92.4,Archery,Luxembourg
3947,5,M,187.4,98.0,Athletics,Albania
3948,5,M,178.8,76.4,Athletics,American Samoa
3949,5,F,162.4,56.8,Athletics,Aruba
3950,5,M,174.4,68.6,Athletics,Australasia
3951,5,F,173.2,70.0,Athletics,Azerbaijan
3952,5,F,172.2,58.0,Athletics,Botswana
3953,5,F,162.6,52.0,Athletics,Comoros
3954,5,F,157.0,51.2,Athletics,Federated States of Micronesia
3955,5,M,170.2,70.0,Athletics,Federated States of Micronesia
3956,5,F,164.2,62.0,Athletics,Guinea Bissau
3957,5,F,165.0,55.2,Athletics,Honduras
3958,5,F,167.2,56.6,Athletics,Macedonia
3959,5,M,181.4,73.2,Athletics,Macedonia
3960,5,M,178.4,73.8,Athletics,Malta
3961,5,F,167.4,54.2,Athletics,Mauritania
3962,5,M,182.4,86.8,Athletics,Monaco
3963,5,M,174.6,66.8,Athletics,Niger
3964,5,M,169.2,64.2,Athletics,Palau
3965,5,F,170.0,56.0,Athletics,Paraguay
3966,5,F,168.4,55.4,Athletics,Swaziland
3967,5,M,185.2,108.0,Athletics,Tajikistan
3968,5,F,169.8,57.6,Athletics,Turkmenistan
3969,5,F,166.4,60.6,Badminton,Canada-1
3970,5,F,166.4,62.6,Badminton,Canada-2
3971,5,F,170.8,60.8,Badminton,Finland
3972,5,M,180.4,78.2,Badminton,Guatemala
3973,5,F,158.0,48.6,Badminton,Mauritius
3974,5,M,195.8,91.4,Beach Volleyball,Czech Republic
3975,5,M,193.2,88.6,Beach Volleyball,Norway
3976,5,F,165.0,53.0,Biathlon,Spain
3977,5,M,180.6,86.0,Bobsleigh,Czechoslovakia
3978,5,M,182.8,89.6,Bobsleigh,Unified Team-2
3979,5,M,181.0,89.8,Bobsleigh,United States Virgin Islands-2
3980,5,M,183.2,90.2,Bobsleigh,Yugoslavia-2
3981,5,M,166.4,56.6,Boxing,Afghanistan
3982,5,F,167.6,65.0,Boxing,Brazil
3983,5,M,165.2,58.4,Boxing,Cambodia
3984,5,F,172.4,62.4,Boxing,Great Britain
3985,5,M,173.6,70.8,Boxing,Grenada
3986,5,M,173.0,67.8,Boxing,Haiti
3987,5,M,171.6,55.8,Boxing,Honduras
3988,5,M,171.0,58.2,Boxing,Israel
